name,type,owner_or_director,address,city,province,phone,email,website,source,notes
YWCA Citygate Early Learning and Child Care Centre,Licensed group child care,,1192 Quebec Street,Vancouver,BC,,njatskevich@ywcabc.org,ywcabc.org/child-care,YWCA BC website (WebFetch),Waitlist contact Nataliya Jatskevich; individual centre phone not published
YWCA Emma's Early Learning and Child Care Centre,Licensed group child care,,3839 Carolina Street,Vancouver,BC,,njatskevich@ywcabc.org,ywcabc.org/child-care,YWCA BC website (WebFetch),Same parent org as Citygate; phone not published
YWCA Leslie Diamond Early Learning and Child Care Centre,Licensed group child care,,535 Hornby Street,Vancouver,BC,,njatskevich@ywcabc.org,ywcabc.org/child-care,YWCA BC website (WebFetch),Downtown Vancouver
YWCA Crabtree Corner Early Learning and Child Care,Licensed group child care,,,Vancouver,BC,,njatskevich@ywcabc.org,ywcabc.org/child-care,YWCA BC website (WebFetch),Address not published on parent page
JCC Vancouver Preschool & Daycare,Licensed group child care,"Jennifer Trickett, Director",950 W 41st Ave,Vancouver,BC,,jtrickett@jccgv.bc.ca,jccgv.com,Web search,Registration also via eceregistration@jccgv.bc.ca
Bluebird Daycare Centre,Licensed group child care,,1434 Woods Drive,North Vancouver,BC,604-988-8117,bluebird_daycare@yahoo.ca,bluebirddaycare.ca,Web search,Infant/toddler/3-5 programs
Rainforest Learning Centre North Vancouver,Licensed group child care,,2020 Moody Avenue,North Vancouver,BC,604-770-1955,info@rainforestlearningcentre.ca,rainforestlearningcentre.ca,WebFetch,Direct line; main registration 604-837-0800
Rainforest Learning Centre Coquitlam,Licensed group child care,,101 - 511 Rochester Avenue,Coquitlam,BC,778-355-0555,info@rainforestlearningcentre.ca,rainforestlearningcentre.ca,WebFetch,Multi-site operator — could be a single-deal sale for all 3 sites
Rainforest Learning Centre Langley,Licensed group child care,,5100 206th Street,Langley,BC,604-514-1566,info@rainforestlearningcentre.ca,rainforestlearningcentre.ca,WebFetch,LANGLEY — Ben's local market; may want to handle personally
Como Lake Kids Village Daycare,Licensed group child care,,825 St Laurence Street,Coquitlam,BC,778-998-4747,,,Web search,Phone verified
Glen Childcare Centre,Licensed group child care,,2977 Glen Drive,Coquitlam,BC,604-618-8303,glenchildcare1@gmail.com,glenchildcare.com,WebFetch enrichment,Phone + email verified
Douglas College Early Childhood Education Centre,Licensed group child care,,1250 Pinetree Way,Coquitlam,BC,604-777-6101,,douglascollege.ca,Web search,College-attached centre
DreamKids Childcare Ltd.,Licensed group child care,,201A - 1194 Lansdowne Drive,Coquitlam,BC,604-809-1823,,,Web search,Phone verified
Friendship Corner Daycare,Licensed group child care,,2950 Dewdney Trunk Road,Coquitlam,BC,604-945-8504,,,Web search,Phone verified
Verdant Early Learning Centre,Licensed group child care,,9191 University Crescent,Burnaby,BC,604-294-9181,,,Web search,SFU-area centre
Academics PreKindergarten YVR,Licensed group child care,,3600 Lysander Lane,Richmond,BC,604-861-9074,YVR@academicsprek.com,academicsprek.com,Web search,Multi-location operator (preK chain)
Terra Early Learning,Licensed group child care,,Unit 120 - 13799 Commerce Parkway,Richmond,BC,604-285-6558,info@terraearlylearning.com,terraearlylearning.com,Web search,Phone + email verified
Creative Adventures Preschool,Licensed preschool/daycare,,11511 King Road,Richmond,BC,604-880-0207,creative.adventures@hotmail.com,creativeadventurespreschool.com,Web search,Personal-style email; treat as published business contact
Ready Montessori Daycare,Licensed group child care,Rachel Li (Manager),8060 Corless Place,Richmond,BC,778-803-9191,,readylearningrichmond.com,WebFetch enrichment,Contact form only (no raw email); WeChat: ReadyLearning
Kids & Company Richmond,Licensed group child care,,Suite 200 - 3851 Shell Road,Richmond,BC,,,kidsandcompany.com,Web search,National chain; phone via 1-866-MY-KIDCO. Probably already on a platform — lower priority
RPC Childcare,Licensed preschool/daycare,,9300 Westminster Hwy,Richmond,BC,604-278-3264,info@rpcdaycare.com,rpcdaycare.com,WebFetch enrichment,Phone + email verified
Okanagan Montessori,Licensed group child care,,3439 East Kelowna Road,Kelowna,BC,250-860-1165,preschool@okanaganmontessori.ca,okanaganmontessori.ca,Web search,Phone + email verified
UBC Okanagan Child Care Services,Licensed group child care,,1262 Discovery Avenue,Kelowna,BC,,childcare.ubco@ubc.ca,childcare.ok.ubc.ca,Web search,University-attached; phone not captured
Daycare Connection Childcare Society,Licensed group child care,,923 Lawson Avenue,Kelowna,BC,250-862-2771,,,Web search,Phone verified
Play & Learn at Parkinson,Licensed child care (city-run),"Valeria Marroquin, contact","Parkinson Rec Centre",Kelowna,BC,,,kelowna.ca,Web search,City of Kelowna operated; contact via city
Bankhead Out of School Care,Licensed OOSC (city-run),"Courtney Bates, contact",,Kelowna,BC,,,kelowna.ca,Web search,City of Kelowna operated
Watson Out of School Care,Licensed OOSC (city-run),"Nikki Fuller, contact",,Kelowna,BC,,,kelowna.ca,Web search,City of Kelowna operated
The Kids Place Childcare Center,Licensed group child care,,1085 Moyse Crescent,Nanaimo,BC,250-754-5437,tinakidsplace@gmail.com,,Web search,Phone + email verified (Gmail published as business contact)
Malaspina Child Care,Licensed group child care,,900 Fifth Street,Nanaimo,BC,250-753-6931,malaspinachildcare@gmail.com,malacc.com,Web search,Phone + email verified
Nanaimo Child Development Centre,Licensed group child care,,1135 Nelson Street,Nanaimo,BC,250-753-0251,info@nanaimocdc.com,nanaimocdc.com,WebFetch enrichment,Phone + email verified
6th Avenue Childcare,Licensed group child care,,520 6th Avenue,Kamloops,BC,250-828-6675,,6thavenuechildcare.ca,Web search,Email on contact page (Yellow Pages redacted it)
Kamloops Child Development Centre,Licensed group child care,,157 Holway Street,Kamloops,BC,250-376-2233,kamloops.child.development@gmail.com,cdckamloops.ca,Web search,Phone + email verified
Kamloops Kidz Early Learning Center,Licensed group child care,Sandra (operator — last name not published),,Kamloops,BC,250-319-9044,sandra@kamloopskidz.com,kamloopskidz.com,Web search,Also administration@kamloopskidz.com
Gingerbread House Montessori,Licensed Montessori,,559 Battle Street,Kamloops,BC,250-828-2045,,,Web search,Phone verified
