name,address,city,postal,phone,website,email
Bonnie Bairns Childcare Services,2260 Philip Ave,North Vancouver,V7P 2W8,604-983-2600,,
Forest Grove Childcare Centre,36-8650 Cinnamon Dr,Burnaby,V5A 4H7,604-339-6340,,
mcgregor Child Care Centre (0 - 3 Gdc),1155 Broadway E,Vancouver,V5T 4V5,778-783-5147,,
Eco Kids Care Inc.,6256 Mt Lehman Rd,Abbotsford,V4X 2G5,778-549-0766,,
Laugh And Learn Children Centre Branch,5412 Vedder Rd,Chilliwack,V2R 3M4,604-705-2556,,
Shannon Day Care,290-1200 73Rd Ave W,Vancouver,V6P 6G5,604-263-3421,,
West Point Grey Under Three Day Care,1708 West 16Th Ave,Vancouver,V6J 2M1,604-568-9002,,
Cedar Grove Childcare Centre,10330 144 St,Surrey,V3T 4V3,604-584-2311,,
Bright Angels Children's Centre Ii,21176 Yeoman's Cres,Langley,V1M 2P7,604-599-1943,,
Creekview Tiny Tots (18Mths - 3Yrs Gdc),1483 Lamey's Mill Rd,Vancouver,V6H 3Y7,604-742-0212,,
Delbrook Wonderland Academy,#120 - 3721 Delbrook Ave,North Vancouver,V7N 3Z4,778-340-9595,,
Kids Club,2855 Acadia Rd,Vancouver,V6T 1S1,604-827-9232,,
Swamp,101-2730 Acadia Rd,Vancouver,V6T 1S1,604-837-9232,,
Creative Childcare Centre,1891 Wellington Cres,Richmond,V7B 1G6,604-512-1318,,
Brock Junction After School Program,4860 Main St,Vancouver,V5V 3R8,604-323-8370,,
Calypso Montessori School Bc Ltd.,2474 Prince Edward St,Vancouver,V5T 3M8,604-266-4416,,
Quadra Child Care Centre,4315 6Th Ave W,Vancouver,V6R 3Z4,604-224-5911,,
Sunflower Preschool,2260 Philip Ave,North Vancouver,V7P 2W8,604-985-9622,,
Shaughnessy Point Grey Out Of School Care Centre,5300 Maple St,Vancouver,V6M 3T6,604-261-0515,,
Little Vine Learning Centre,1005 Kensington Ave,Burnaby,V5B 4B8,604-566-5887,,
