name,address,city,postal,phone,website,email
5 Star Learning Centre,7096 201 St,Langley,V2Y 3G7,(604) 812-4838,,
B Kids Daycare Langley,109-110 - 20631 Fraser Hwy,Langley,V3A 4G4,(778) 773-4990,,
Bee Yourself Childcare,20555 56Th Ave,Langley,V3A 3Y9,(604) 619-9711,,
Beyond Elements Childcare Ltd.,5673 200Th St,Langley,V3A 1M7,(778) 863-4641,,
Blessings Miracles Daycare Centre Ltd.,4041 200B St,Langley,V3A 1P1,(778) 863-5511,,
Blossom Buddies Daycare,8069 203 St,Langley,V2Y 3W8,(778) 996-5244,,
Brainbox Montessori Learning Academy,20700 56 Ave,Langley,V3A 7R8,(778) 957-6588,,
Brave Spaces Early Learning Commons,22756 48 Ave,Langley,V2Z 2T6,(604) 514-1000,,
Bright Angels Children's Centre Ii,21176 Yeoman's Cres,Langley,V1M 2P7,(604) 599-1943,,
Bright Cubs Childcare,19681 31A Ave,Langley,V2Z 0B2,(778) 708-5881,,
Brookswood Kids Place Inc.,20390 40Th Ave,Langley,V3A 2X1,(604) 530-3391,,
Building Blocks Learning Centre,9060 212Th St,Langley,V1M 2B7,(604) 613-7910,,
Buttons 'N Bows Childcare Inc.,20190 48 Ave,Langley,V3A 3L4,(604) 209-4340,,
Champion Kids Learning Centre Inc,20525 Fraser Hwy,Langley,V3A 4G3,(778) 321-8624,,
Chapter One Childcare,6654 Willoughby Way,Langley,V2Y 1K5,(236) 978-9252,,
Chipmunk Achievers Preschool,20025 91A Ave,Langley,V1M 3A2,(604) 888-5022,,
Community Kids School Aged Care Inc,20050 53Rd Ave,Langley,V3A 3T9,(778) 240-9858,,
Cookie Monster Preschool-Timms,20399 Douglas Cres,Langley,V3A 4B3,(604) 514-2865,,
Country Bumkins Children's Centre - Richard Bulpitt,20965 77A St,Langley,V2Y 2E6,(604) 856-0979,,
Country Bumkins Children's Centre - Willoughby,20766 80 Ave,Langley,V2Y 1X6,(604) 881-9052,,
Curiosity Grove - Walnut Grove,8889 Walnut Grove Dr,Langley,V1M 2N7,(604) 532-3540,,
Curious Cubs Childcare Centre,9306 208 St,Langley,V1M 2Y9,(604) 352-5511,,
Discovery Station Preschool,20097 72 Ave,Langley,V2Y 1S7,(604) 533-5881,,
Ecel (Langley),20279 56 Ave,Langley,V3A 3Y6,(604) 510-8486,,
Encompass Bright Beginnings Childcare Centre,A-21405 56 Ave,Langley,V2Y 2N1,(604) 534-7155,,
Flying Kites Child Care Center - Wix Brown,23851 24Th Ave,Langley,V2Z 3A3,(604) 308-1446,,
Forest Cubs Childcare,20467 90 Cres,Langley,V1M 1A7,(647) 864-1234,,
Foxglove School Age Care,20011 44 Ave,Langley,V3A 6L8,(604) 786-6985,,
Friendz At Five Corners,21562 Old Yale Rd,Langley,V3A 4M8,(604) 788-2892,,
Global Montessori Learning Center,19785 55 A Ave,Langley,V3A 3X1,(604) 534-1556,,
Growing Tree Toddler Center,7759 204A St,Langley,V2Y 4K3,(778) 246-2234,,
Happy Little Bunnies,20936 80B Avenue,Langley,V2Y 0R2,(778) 680-4611,,
Happyland Early Learning Centre Cineplex,F-20090 91A Ave,Langley,V1M 3Y9,(778) 995-6997,,
Headstart Childcare Inc.,21020 83 Ave,Langley,V2Y 0K8,(604) 888-0662,,
Highland Meadows Day Care,8286  197Th St,Langley,V2Y 1Z1,(604) 888-1030,,
Holistic Roots Childcare Centre,102-5844 Glover Rd,Langley,V3A 4H9,(604) 532-7977,,
Illumine Learning Centre - Langley,20901 83 Ave,Langley,V2Y 0W8,(604) 318-9101,,
Jellybean Park,138B-19653 Willowbrook Dr,Langley,V2Y 1A5,(604) 539-9898,,
Joyful Lambs Daycare,6995 202B St,Langley,V2Y 2Z6,(250) 884-5332,,
Joyful Ocean Academy,20409 83B Ave,Langley,V2Y 0R6,(604) 828-3703,,
Khalsa Child Care Centre,26345 62 Ave,Langley,V4W 1L8,(604) 594-0553,,
Kid'n Around Childrens Centre,20997 40 Ave,Langley,V3A 8N9,(604) 533-3757,,
Kiddie Kollege Langley,20103 53 Ave,Langley,V3A 3T8,(604) 530-0311,,
Kids Canvas Childcare,7221 198B St,Langley,V2Y 1R9,(604) 767-5558,,
Kids In The Grove Daycare (Topham),21555 91 Ave,Langley,V1M 3Z3,(604) 888-2713,,
Kids In The Grove Daycare (West Langley),9403 212 St,Langley,V1M 1M1,(604) 882-2779,,
Kids R Kool Childcare,9175 206Th St,Langley,V1M 2X2,(604) 318-0132,,
Langley Forest School,8870 Glover Rd,Langley,V1M 2R9,(604) 888-8555,,
Lcs Early Learning Programs,22930 48 Ave,Langley,V2Z 2T7,(604) 533-2222,,
Learn N' Play North Langley,2-9497 201 St,Langley,V1M 4A5,(604) 389-2049,,
Lfas Care Center,9096 Trattle St,Langley,V1M 2S3,(604) 880-7297,,
Little Birds Academy Ltd.,20257 Fraser Hwy,Langley,V3A 4E7,(778) 394-3210,,
Little Elephant Montessori Centre,8150 211 St,Langley,V2Y 0E4,(778) 998-7053,,
Little Ladybug Daycare-Langley,20867 44 Ave,Langley,V3A 5A9,(604) 968-9077,,
Little Lamb Christian Montessori Children House,21811 52A Ave,Langley,V2Y 1L3,(778) 908-8938,,
Little Otters Preschool,5370 248Th St,Langley,V4W 1A7,(604) 857-7550,,
Little Sketch Child Care,8256 202 St,Langley,V2Y 0Y9,(778) 580-8566,,
Little Wise Ones Preschool,22200 Fraser Hwy,Langley,V3A 7T2,(604) 533-6173,,
Love-It Care,20131 69 Ave,Langley,V2Y 2Y2,(604) 514-4911,,
Mindful Kids Childcare Center,21209 93A Ave,Langley,V1M 1M5,(778) 637-0303,,
Miss Vicki's Childcare Centre,21150 80 Ave,Langley,V2Y 0H2,(778) 998-0405,,
Mumta Childcare,27150 35B Ave,Langley,V4W 0C3,(778) 316-6490,,
Murrayville Academy And Early Learning Centre,21514 Old Yale Rd,Langley,V3A 4M8,(604) 532-5667,,
Murrayville Academy Out Of School Care,21488 Old Yale Rd,Langley,V3A 4M8,(604) 533-5664,,
My Forest Daycare,19654 73C Ave,Langley,V2Y 3R5,(778) 713-0705,,
Ncs Child Care,7861 211A St,Langley,V2Y 0H4,(236) 989-9515,,
