name,type,owner_or_director,city,province,phone,email,website,source,notes
The Child Dayhomes,Family day home agency,,Edmonton,AB,587-855-9977,info@thechilddayhomes.com,thechilddayhomes.com,AB Gov family day home agency list + agency website,Gov list shows 780-288-5172; 587 number is the website's published contact line. Owner name not published.
North Edmonton FDH Agency (NEFDHA / Castledowns),Family day home agency,,Edmonton,AB,780-478-3376,,nefdha.com,AB Gov list + agency website,Website has a published email but our fetch redacted it; grab manually. Owner/ED not yet found.
Child Development Dayhomes of Alberta,Family day home agency,,Edmonton,AB,780-444-2288,reception@childdev.com,childdev.com,AB Gov list + agency website,Also operates Calgary (403-230-2233) + Fort McMurray. Leadership page returned 404; ED needs LinkedIn check.
Glengarry Family Day Homes,Family day home agency,Brad West (likely director — INFERRED from email handle; confirm),Edmonton,AB,780-478-4691,brad.west@glengarrychildcare.com,glengarrychildcare.com,AB Gov list + agency website,Named-person email — strong direct contact. Name inferred from email, not confirmed on site.
Calgary and Region Family Day Home Agency Inc.,Family day home agency,,Calgary,AB,403-217-5394,,calgaryfamilydayhomes.com,AB Gov list + agency website,No raw email published; contact form only. Owner not published.
Kids Crew Family Dayhome Agency,Family day home agency,,Edmonton,AB,780-800-4311,kidscrewdayhomeagency@gmail.com,kidscrewdayhomeagency.ca,Agency website,Providers in Edmonton/Leduc/St. Albert; not in 2024 gov PDF under this name.
Family Day Care Services,Licensed home child care agency,"Diane Daley, CEO",Toronto,ON,416-922-3434,childcareservices@familydaycare.com,familydaycare.com,Web search (CEO confirmed via company announcement),Large agency across Toronto/York/Peel. CEO since July 2019.
Mothercraft Ottawa,Licensed home child care agency,"Alicia Ashton, Executive Director",Ottawa,ON,613-728-1839,info@mothercraft.com,mothercraft.com,Web search (ED confirmed),Licensed home child care program.
Andrew Fleck Children's Services,Licensed home child care agency,"Kim Hiscott, Executive Director",Ottawa,ON,613-736-1913,,afchildrensservices.ca,Web search (ED confirmed),Now branded Andrew Fleck Children's Services. Email not yet captured.
Affectio Family Day Homes Agency,Family day home agency,,Calgary,AB,587-894-0985,,,AB Gov family day home agency list,Phone verified; owner/website/email need enrichment
BGC Cochrane & Area Day Homes,Family day home agency,,Cochrane,AB,403-981-2020,,,AB Gov family day home agency list,Part of BGC (Boys & Girls Club) Cochrane; owner = org leadership
Children's Choice Community Day Homes,Family day home agency,,Calgary,AB,403-273-6360,,,AB Gov family day home agency list,Phone verified; owner/website/email need enrichment
Wonderland Dayhome Agency,Family day home agency,,Calgary,AB,403-992-9866,,,AB Gov family day home agency list,Phone verified; owner/website/email need enrichment
Camrose Family Day Home Project,Family day home agency,,Camrose,AB,780-672-0131,,,AB Gov family day home agency list,Serves Camrose + many rural towns
Evolution Family Day Homes,Family day home agency,,Wetaskiwin,AB,780-352-5615,,,AB Gov family day home agency list,Phone verified; owner/website/email need enrichment
Red Deer Family Day Home Program,Family day home agency,,Red Deer,AB,403-347-7973,,,AB Gov family day home agency list,Phone verified; owner/website/email need enrichment
Kimmotion Family Day Home Ltd.,Family day home agency,,Red Deer,AB,403-343-8347,,,AB Gov family day home agency list,Ltd. company — owner findable via AB corporate registry
Hello Dayhome Family Childcare Inc,Family day home agency,,Fort Saskatchewan,AB,780-977-2216,,,AB Gov family day home agency list,Inc. — owner findable via AB corporate registry
It's A Child's World Family Day Homes,Family day home agency,,Edmonton,AB,780-489-2626,,,AB Gov family day home agency list,Edmonton city-wide + St. Albert
Parkland Family Day Home Agency Limited,Family day home agency,,Spruce Grove,AB,780-962-5919,,,AB Gov family day home agency list,County of Parkland
Bonnyville Play & Learn Family Day Homes,Family day home agency,,Bonnyville,AB,780-812-6747,,,AB Gov family day home agency list,Phone verified; owner/website/email need enrichment
Westlock Family Day Home Agency,Family day home agency,,Westlock,AB,780-349-4999,,,AB Gov family day home agency list,Serves Westlock/Barrhead/Athabasca
Child Development Dayhomes - Fort McMurray,Family day home agency,,Fort McMurray,AB,780-715-1166,,childdev.com,AB Gov list,Branch of Child Development Dayhomes
Jack 'n Jill Family Day Home Agency,Family day home agency,,Grande Prairie,AB,780-533-2570,,,AB Gov family day home agency list,Phone verified; owner/website/email need enrichment
Stepping Stones Day Home Program,Family day home agency,,Grande Prairie,AB,780-532-9684,,,AB Gov family day home agency list,Grande Prairie/Clairmont
Apple Blossom Day Homes,Family day home agency,,Medicine Hat,AB,403-526-8194,,,AB Gov family day home agency list,Medicine Hat + Brooks
Hemel House Child Care Services Ltd.,Family day home agency,,Lethbridge,AB,403-327-7077,,,AB Gov family day home agency list,Ltd. — owner findable via AB corporate registry
Wee R Kids 2 Family Day Homes Ltd.,Family day home agency,,Lethbridge,AB,403-320-5711,,,AB Gov family day home agency list,Serves Raymond/Coaldale/Stirling/Lethbridge/Taber
